spp,sv,masa,log.sv,log.masa,l_papus,area_p,pl_m,tipo_papus,Latitud,Longitud,altitud,Ecoregion,habito,muestreo,Tribu,cod_gps,bio1,bio4,bio12,bio15,cover,wind.speed,air.density
Baccharis_tola,0.439975526295116,0.385,-0.827751362489967,-0.959481316798656,7.847625,194.0615413036,0.00200912598643935,setose,-22.25,-65.125,4271,Central_Andean_puna,arbusto,norte_2020,Astereae,Camino a Santa Victoria,7.72499990463257,284.696807861328,334,106.997894287109,2,4.9610595703125,0.773733973503113
Baccharis_tucumanensis,0.209360976389083,0.0666666666666667,-1.58267832842877,-2.73902953298863,3.99844444444444,50.5415998282875,0.00131674041209556,setose,-22.246,-65.05,3044,Central_Andean_puna,arbusto,norte_2020,Astereae,antes de Rodeo Pampa,13.2041664123535,297.347808837891,415,106.767753601074,1,2.04431009292603,0.867749035358429
Brachyclados_caespitosus,0.783102343125113,1.29,-0.260926951371481,0.228327939284117,9.729375,298.167865638328,0.00440696801108766,setose,-50.306795,-70.238514,384,Patagonian_steppe,cojin,Sur_2021,Mutisieae,RP9,7.375,497.523406982422,150,19.8510475158691,0,5.57340621948242,1.19285869598389
Burkartia_lanigera,0.660366140437894,0.56875,-0.419775182340794,-0.669284638622012,5.10425,82.3430716030796,0.006726767652885,setose,-50.286573,-69.29533,357,Patagonian_steppe,cojin,Sur_2021,Nassauvieae,RP9_2,7.11666679382324,491.908782958984,173,22.2058658599854,9,6.34846210479736,1.19444215297699
Campuloclinium_purpurascens,0.298680443051056,0.0555555555555556,-1.21943970623242,-2.89757261722032,3.34377777777778,35.1947912592684,0.00158276867409357,setose,-25.178178,-65.816128,2658.987,Central_Andean_puna,hierba,norte_2022,Eupatorieae,Pie de Cuesta,12.4499998092651,340.367462158203,224,115.51000213623,1,2.08322334289551,0.905916452407837
Chaptalia,0.440650494748767,0.495555555555556,-0.888228145170138,-0.746841572391602,9.26944444444444,276.531197143104,0.00198531626568287,setose,-25.116442,-65.602071,1452.464,Southern_Andean_Yungas,hierba,norte_2022,Mutisieae,Quebrada Escoipe,16.595832824707,380.206024169922,483,109.855293273926,50,1.52029085159302,1.02576911449432
Chaptalia_3,0.459075643465988,1.43222222222222,-0.78659288411301,0.353032010503753,9.34011111111111,274.725970285577,0.00525251324489793,setose,-25.174863,-65.854139,3260,Central_Andean_puna,hierba,norte_2022,Mutisieae,Punta Cochera,10.7416667938232,330.425567626953,195,117.333549499512,1,4.4538402557373,0.849272966384888
Chaptalia_similis,0.549817235342542,1.56333333333333,-0.598715410943643,0.441784431289538,8.15933333333333,209.503210219161,0.00749774796704193,setose,-25.166542,-65.849998,2953.698,Central_Andean_puna,hierba,norte_2022,Mutisieae,Mirador de la virgen,11.3583335876465,334.47265625,201,118.178695678711,0,2.24771595001221,0.875411152839661
Chromolaena_arnottiana,0.377764881560049,0.278888888888889,-0.987058179100068,-1.30835807147823,4.69255555555556,69.2605175062486,0.00403960590918473,setose,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,norte_2022,Eupatorieae,Campo Quijano,15.3541669845581,356.845123291016,435,109.33625793457,22,0.931084096431732,0.999824166297913
Chromolaena_hookeriana,0.288116744702918,0.11,-1.24574576471945,-2.27447137684946,3.724,43.5842259451207,0.00251014823870388,setose,-25.116442,-65.602071,1452.464,Southern_Andean_Yungas,arbusto,norte_2022,Eupatorieae,Quebrada Escoipe,16.595832824707,380.206024169922,483,109.855293273926,50,1.52029085159302,1.02576911449432
